nome_munic,datahora,latitude,longitude,casos,obitos,casos_pc,obitos_pc
Botucatu,2020-06-08,-22.8837,-48.4437,380,9,269.245757607964,6.376873206504411
Botucatu,2020-06-09,-22.8837,-48.4437,383,9,271.371382010132,6.376873206504411
Botucatu,2020-06-10,-22.8837,-48.4437,393,9,278.456796684026,6.376873206504411
Botucatu,2020-06-11,-22.8837,-48.4437,411,9,291.210543097035,6.376873206504411
Botucatu,2020-06-12,-22.8837,-48.4437,425,9,301.130123640486,6.376873206504411
Botucatu,2020-06-13,-22.8837,-48.4437,426,10,301.838665107875,7.085414673893791
Botucatu,2020-06-14,-22.8837,-48.4437,427,10,302.547206575265,7.085414673893791
Botucatu,2020-06-15,-22.8837,-48.4437,428,10,303.255748042654,7.085414673893791
Botucatu,2020-06-16,-22.8837,-48.4437,444,10,314.592411520884,7.085414673893791
Botucatu,2020-06-17,-22.8837,-48.4437,444,10,314.592411520884,7.085414673893791
Botucatu,2020-06-18,-22.8837,-48.4437,444,10,314.592411520884,7.085414673893791
Botucatu,2020-06-19,-22.8837,-48.4437,484,12,342.934070216459,8.50249760867255
Botucatu,2020-06-20,-22.8837,-48.4437,492,13,348.602401955574,9.21103907606193
Botucatu,2020-06-21,-22.8837,-48.4437,515,13,364.89885570553,9.21103907606193
Botucatu,2020-06-22,-22.8837,-48.4437,516,13,365.60739717292,9.21103907606193
Botucatu,2020-06-23,-22.8837,-48.4437,524,13,371.275728912035,9.21103907606193
Botucatu,2020-06-24,-22.8837,-48.4437,538,14,381.195309455486,9.91958054345131
Botucatu,2020-06-25,-22.8837,-48.4437,552,14,391.114889998937,9.91958054345131
Botucatu,2020-06-26,-22.8837,-48.4437,583,15,413.079675488008,10.6281220108407
Botucatu,2020-06-27,-22.8837,-48.4437,588,15,416.62238282495497,10.6281220108407
Botucatu,2020-06-28,-22.8837,-48.4437,603,15,427.25050483579497,10.6281220108407
Botucatu,2020-06-29,-22.8837,-48.4437,625,15,442.838417118362,10.6281220108407
Botucatu,2020-06-30,-22.8837,-48.4437,631,15,447.089665922698,10.6281220108407
Botucatu,2020-07-01,-22.8837,-48.4437,655,15,464.094661140043,10.6281220108407
Botucatu,2020-07-02,-22.8837,-48.4437,679,15,481.099656357388,10.6281220108407
Botucatu,2020-07-03,-22.8837,-48.4437,709,15,502.35590037906996,10.6281220108407
Botucatu,2020-07-04,-22.8837,-48.4437,712,15,504.481524781238,10.6281220108407
Botucatu,2020-07-05,-22.8837,-48.4437,731,15,517.943812661636,10.6281220108407
Botucatu,2020-07-06,-22.8837,-48.4437,758,15,537.074432281149,10.6281220108407
Botucatu,2020-07-07,-22.8837,-48.4437,771,16,546.285471357211,11.3366634782301
Botucatu,2020-07-08,-22.8837,-48.4437,772,16,546.994012824601,11.3366634782301
Botucatu,2020-07-09,-22.8837,-48.4437,791,17,560.456300704999,12.0452049456194
Botucatu,2020-07-10,-22.8837,-48.4437,818,18,579.586920324512,12.753746413008802
Botucatu,2020-07-11,-22.8837,-48.4437,840,18,595.174832607078,12.753746413008802
Botucatu,2020-07-12,-22.8837,-48.4437,841,18,595.883374074468,12.753746413008802
Botucatu,2020-07-13,-22.8837,-48.4437,841,18,595.883374074468,12.753746413008802
Botucatu,2020-07-14,-22.8837,-48.4437,885,18,627.0591986396,12.753746413008802
Botucatu,2020-07-15,-22.8837,-48.4437,891,19,631.310447443937,13.462287880398199
Botucatu,2020-07-16,-22.8837,-48.4437,900,19,637.6873206504409,13.462287880398199
Botucatu,2020-07-17,-22.8837,-48.4437,918,19,650.44106706345,13.462287880398199
Botucatu,2020-07-18,-22.8837,-48.4437,922,19,653.2752329330069,13.462287880398199
Botucatu,2020-07-19,-22.8837,-48.4437,923,19,653.983774400397,13.462287880398199
Botucatu,2020-07-20,-22.8837,-48.4437,930,19,658.943564672122,13.462287880398199
Botucatu,2020-07-21,-22.8837,-48.4437,935,19,662.486272009069,13.462287880398199
Botucatu,2020-07-22,-22.8837,-48.4437,1010,19,715.626882063273,13.462287880398199
Botucatu,2020-07-23,-22.8837,-48.4437,1051,19,744.6770822262371,13.462287880398199
Botucatu,2020-07-24,-22.8837,-48.4437,1071,23,758.8479115740249,16.2964537499557
Botucatu,2020-07-25,-22.8837,-48.4437,1118,23,792.149360541326,16.2964537499557
Botucatu,2020-07-26,-22.8837,-48.4437,1120,24,793.5664434761039,17.0049952173451
Botucatu,2020-07-27,-22.8837,-48.4437,1120,24,793.5664434761039,17.0049952173451
Botucatu,2020-07-28,-22.8837,-48.4437,1152,24,816.239770432565,17.0049952173451
Botucatu,2020-07-29,-22.8837,-48.4437,1170,25,828.9935168455729,17.7135366847345
Botucatu,2020-07-30,-22.8837,-48.4437,1214,25,860.169341410706,17.7135366847345
Botucatu,2020-07-31,-22.8837,-48.4437,1215,25,860.877882878095,17.7135366847345
Botucatu,2020-08-01,-22.8837,-48.4437,1253,26,887.8024586388921,18.4220781521239
Botucatu,2020-08-02,-22.8837,-48.4437,1253,26,887.8024586388921,18.4220781521239
Botucatu,2020-08-03,-22.8837,-48.4437,1253,26,887.8024586388921,18.4220781521239
Botucatu,2020-08-04,-22.8837,-48.4437,1272,26,901.26474651929,18.4220781521239
Botucatu,2020-08-05,-22.8837,-48.4437,1291,26,914.7270343996879,18.4220781521239
Botucatu,2020-08-06,-22.8837,-48.4437,1332,27,943.777234562653,19.1306196195132
Botucatu,2020-08-07,-22.8837,-48.4437,1345,27,952.9882736387151,19.1306196195132
Botucatu,2020-08-08,-22.8837,-48.4437,1384,27,980.6213908669,19.1306196195132
Botucatu,2020-08-09,-22.8837,-48.4437,1404,28,994.792220214688,19.839161086902603
Botucatu,2020-08-10,-22.8837,-48.4437,1404,28,994.792220214688,19.839161086902603
Botucatu,2020-08-11,-22.8837,-48.4437,1433,28,1015.3399227689802,19.839161086902603
Botucatu,2020-08-12,-22.8837,-48.4437,1451,28,1028.09366918199,19.839161086902603
Botucatu,2020-08-13,-22.8837,-48.4437,1465,28,1038.0132497254401,19.839161086902603
Botucatu,2020-08-14,-22.8837,-48.4437,1497,28,1060.6865766819,19.839161086902603
Botucatu,2020-08-15,-22.8837,-48.4437,1526,28,1081.23427923619,19.839161086902603
Botucatu,2020-08-16,-22.8837,-48.4437,1545,28,1094.69656711659,19.839161086902603
Botucatu,2020-08-17,-22.8837,-48.4437,1561,28,1106.03323059482,19.839161086902603
Botucatu,2020-08-18,-22.8837,-48.4437,1569,29,1111.70156233394,20.547702554291998
Botucatu,2020-08-19,-22.8837,-48.4437,1583,29,1121.62114287739,20.547702554291998
Botucatu,2020-08-20,-22.8837,-48.4437,1617,29,1145.71155276863,20.547702554291998
Botucatu,2020-08-21,-22.8837,-48.4437,1638,29,1160.5909235838,20.547702554291998
