nome_munic,porcentagem_vacinada,doses_aplicadas,populacao,datahora,latitude,longitude,casos,obitos,casos_pc,obitos_pc
ARTUR NOGUEIRA,0.36431152899999997,20161,55340,2021-06-30,-22.5727,-47.1727,4587,117,8719.04046836093,222.395407629873
FRANCO DA ROCHA,0.363884416,56945,156492,2021-06-30,-23.3229,-46.729,11241,340,7385.62821532053,223.388808220708
RESTINGA,0.36384946,2794,7679,2021-06-30,-20.6056,-47.4833,523,8,6979.8478580007995,106.766315227546
VARGEM,0.36335578,3885,10692,2021-06-30,-22.887,-46.4124,176,7,1760.0,70.0
JARINU,0.36332756299999996,11124,30617,2021-06-30,-23.1039,-46.728,2425,60,8132.12608987257,201.207243460765
MONTE MOR,0.36277446799999996,22040,60754,2021-06-30,-22.945,-47.3122,5518,114,9256.21498305767,191.230247928339
BOFETE,0.362721248,4324,11921,2021-06-30,-23.1055,-48.2582,755,14,6816.54026724449,126.39942217407
IPUÃ,0.36268369100000003,6022,16604,2021-06-30,-20.4438,-48.0129,1680,56,10592.0181577454,353.06727192484703
JAMBEIRO,0.36251302700000004,2435,6717,2021-06-30,-23.2522,-45.6942,361,11,5809.46250402317,177.019633086579
DIADEMA,0.362454512,154680,426757,2021-06-30,-23.6813,-46.6205,23986,1159,5930.12705295975,286.54286893939604
PIEDADE,0.36221238,20118,55542,2021-06-30,-23.7139,-47.4256,4557,127,8512.02928870293,237.223550508069
BARRA DO TURVO,0.36163522,2760,7632,2021-06-30,-24.759,-48.5013,600,18,7805.385716144141,234.16157148432399
SANTA LÚCIA,0.361531511,3201,8854,2021-06-30,-21.685,-48.0885,625,17,7299.6963326325595,198.551740247606
SÃO ROQUE,0.361318705,33263,92060,2021-06-30,-23.5226,-47.1357,6029,90,6895.4080173843395,102.933607822954
CUBATÃO,0.361022898,47520,131626,2021-06-30,-23.8911,-46.424,12402,427,9603.159239614391,330.636106701769
GASTÃO VIDIGAL,0.36090535,1754,4860,2021-06-30,-20.7948,-50.1912,162,15,3397.65100671141,314.597315436242
ORINDIÚVA,0.360856269,2596,7194,2021-06-30,-20.1861,-49.3464,1255,18,18278.4736382173,262.161374890766
ITAPIRAPUÃ PAULISTA,0.35965323299999996,1535,4268,2021-06-30,-24.572,-49.1661,525,2,12559.8086124402,47.8468899521531
NOVA LUZITÂNIA,0.358413462,1491,4160,2021-06-30,-20.856,-50.2617,322,10,7962.4134520277,247.279920870425
GUARIBA,0.35836194299999996,14509,40487,2021-06-30,-21.3594,-48.2316,3785,92,9699.90517926245,235.770482560672
ITARIRI,0.357824753,6297,17598,2021-06-30,-24.2834,-47.1736,1231,37,7126.317008220451,214.194743545212
FLÓRIDA PAULISTA,0.35693035799999995,5279,14790,2021-06-30,-21.6127,-51.1724,1196,32,9867.98679867987,264.026402640264
AREIÓPOLIS,0.35579853,3970,11158,2021-06-30,-22.6672,-48.6681,1247,18,11485.6774431243,165.791655153357
CAIEIRAS,0.355563123,36543,102775,2021-06-30,-23.3607,-46.7397,8151,287,8101.41931379955,285.254244026558
GUARUJÁ,0.35520062,114641,322750,2021-06-30,-23.9888,-46.258,20450,1111,6463.235410312729,351.132251386672
TABOÃO DA SERRA,0.35423222,104021,293652,2021-06-30,-23.6019,-46.7526,17229,829,6069.3061284879395,292.034057723403
SÃO VICENTE,0.35338192799999996,130170,368355,2021-06-30,-23.9574,-46.3883,17101,1076,4777.7631876713,300.618279044168
SANTA ISABEL,0.352206466,20416,57966,2021-06-30,-23.3172,-46.2237,5394,236,9791.9616599499,428.421014413826
TAGUAÍ,0.35174315799999994,4974,14141,2021-06-30,-23.4452,-49.4024,2082,31,15631.8041895037,232.75020647195703
ARAÇOIABA DA SERRA,0.351621808,12228,34776,2021-06-30,-23.5029,-47.6166,2737,69,8450.13893176906,213.02871256560698
SEVERÍNIA,0.350036804,6182,17661,2021-06-30,-20.8108,-48.8054,2096,59,12238.7013896999,344.505430339834
CLEMENTINA,0.35000571,3065,8757,2021-06-30,-21.5604,-50.4525,891,14,10703.9884670831,168.188370975493
CONCHAL,0.349343897,9877,28273,2021-06-30,-22.3375,-47.1729,2374,62,8701.07022430729,227.239407711479
PORTO FELIZ,0.349069323,18641,53402,2021-06-30,-23.2093,-47.5251,7357,117,14230.9998645956,226.318741899917
VINHEDO,0.348903397,27951,80111,2021-06-30,-23.0302,-46.9833,8548,165,11026.6895421886,212.845551527973
PRATÂNIA,0.34888094799999997,1855,5317,2021-06-30,-22.8112,-48.6636,765,10,14837.0830100853,193.94879751745498
BERTIOGA,0.34839238,22549,64723,2021-06-30,-23.8486,-46.1396,5462,150,8630.11534207616,237.004266076789
JUQUITIBA,0.347879669,11009,31646,2021-06-30,-23.9244,-47.0653,1724,67,5670.86608993125,220.387487253709
MORRO AGUDO,0.347632781,11572,33288,2021-06-30,-20.7288,-48.0581,4424,95,13683.0384758134,293.82654954843497
RIO DAS PEDRAS,0.346829705,12395,35738,2021-06-30,-22.8417,-47.6047,3030,80,8804.04463040446,232.45002324500197
TAQUARIVAÍ,0.346472678,2048,5911,2021-06-30,-23.9211,-48.6948,414,13,7205.01218238775,226.24434389140302
MAIRIPORÃ,0.34541923,35211,101937,2021-06-30,-23.3171,-46.5897,6348,204,6436.69769422644,206.850398491209
POÁ,0.34533456100000004,40870,118349,2021-06-30,-23.5333,-46.3473,7255,338,6279.319358133261,292.544444252108
SANTA CRUZ DAS PALMEIRAS,0.34516509799999995,11990,34737,2021-06-30,-21.8235,-47.248,3552,102,10530.9970648403,302.41038868629397
CAJAMAR,0.34512536200000005,26897,77934,2021-06-30,-23.355,-46.8781,4472,220,5760.882167287161,283.406546691229
CAÇAPAVA,0.344271612,32712,95018,2021-06-30,-23.0992,-45.7076,7992,245,8761.52471578763,268.590284705702
GUARULHOS,0.34395788899999996,478831,1392121,2021-06-30,-23.4538,-46.5333,57884,4347,4283.65802667851,321.696175833935
PAULÍNIA,0.342276546,38336,112003,2021-06-30,-22.7542,-47.1488,13669,249,13013.5095252149,237.05932195321603
SERTÃOZINHO,0.341783203,43455,127142,2021-06-30,-21.1316,-47.9875,16392,411,13397.082260635,335.90780924359404
CACHOEIRA PAULISTA,0.341413299,11465,33581,2021-06-30,-22.6665,-45.0154,2395,37,7430.734386149979,114.79631410753599
